step=098 action=3 queues(env)=N1,S4,E5,W5 rendered_approaching={'N': 1, 'S': 4, 'E': 5, 'W': 5} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 8} reward=-28.3
step=099 action=2 queues(env)=N1,S5,E6,W6 rendered_approaching={'N': 1, 'S': 5, 'E': 6, 'W': 6} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 8} reward=-32.8
step=100 action=3 queues(env)=N2,S5,E7,W7 rendered_approaching={'N': 2, 'S': 5, 'E': 7, 'W': 7} rendered_departing={'N': 9, 'S': 9, 'E': 9, 'W': 8} reward=-37.6
step=101 action=1 queues(env)=N3,S5,E6,W7 rendered_approaching={'N': 3, 'S': 5, 'E': 6, 'W': 7} rendered_departing={'N': 9, 'S': 9, 'E': 9, 'W': 8} reward=-36.1
step=102 action=1 queues(env)=N4,S5,E6,W5 rendered_approaching={'N': 4, 'S': 5, 'E': 6, 'W': 5} rendered_departing={'N': 9, 'S': 9, 'E': 9, 'W': 10} reward=-28.9
step=103 action=0 queues(env)=N3,S4,E6,W5 rendered_approaching={'N': 3, 'S': 4, 'E': 6, 'W': 5} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 10} reward=-31.6
step=104 action=0 queues(env)=N2,S3,E7,W5 rendered_approaching={'N': 2, 'S': 3, 'E': 7, 'W': 5} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 9} reward=-25.9
step=105 action=1 queues(env)=N2,S4,E6,W4 rendered_approaching={'N': 2, 'S': 4, 'E': 6, 'W': 4} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-29.4
step=106 action=3 queues(env)=N3,S5,E6,W3 rendered_approaching={'N': 3, 'S': 5, 'E': 6, 'W': 3} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-31.0
step=107 action=2 queues(env)=N2,S4,E6,W3 rendered_approaching={'N': 2, 'S': 4, 'E': 6, 'W': 3} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-28.9
step=108 action=3 queues(env)=N2,S4,E5,W3 rendered_approaching={'N': 2, 'S': 4, 'E': 5, 'W': 3} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 10} reward=-27.3
step=109 action=3 queues(env)=N2,S5,E5,W3 rendered_approaching={'N': 2, 'S': 5, 'E': 5, 'W': 3} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 10} reward=-24.7
step=110 action=0 queues(env)=N0,S3,E5,W4 rendered_approaching={'N': 0, 'S': 3, 'E': 5, 'W': 4} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 10} reward=-22.5
step=111 action=2 queues(env)=N0,S2,E5,W5 rendered_approaching={'N': 0, 'S': 2, 'E': 5, 'W': 5} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 10} reward=-25.1
step=112 action=0 queues(env)=N0,S1,E5,W5 rendered_approaching={'N': 0, 'S': 1, 'E': 5, 'W': 5} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 9} reward=-24.7
step=113 action=4 queues(env)=N0,S2,E5,W6 rendered_approaching={'N': 0, 'S': 2, 'E': 5, 'W': 6} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 9} reward=-35.8
step=114 action=1 queues(env)=N1,S3,E4,W5 rendered_approaching={'N': 1, 'S': 3, 'E': 4, 'W': 5} rendered_departing={'N': 9, 'S': 10, 'E': 10, 'W': 10} reward=-24.8
step=115 action=1 queues(env)=N2,S3,E3,W4 rendered_approaching={'N': 2, 'S': 3, 'E': 3, 'W': 4} rendered_departing={'N': 9, 'S': 10, 'E': 10, 'W': 10} reward=-15.3
step=116 action=2 queues(env)=N2,S4,E4,W4 rendered_approaching={'N': 2, 'S': 4, 'E': 4, 'W': 4} rendered_departing={'N': 9, 'S': 9, 'E': 10, 'W': 10} reward=-23.3
step=117 action=4 queues(env)=N3,S5,E4,W4 rendered_approaching={'N': 3, 'S': 5, 'E': 4, 'W': 4} rendered_departing={'N': 9, 'S': 9, 'E': 9, 'W': 10} reward=-34.7
step=118 action=3 queues(env)=N3,S5,E3,W3 rendered_approaching={'N': 3, 'S': 5, 'E': 3, 'W': 3} rendered_departing={'N': 9, 'S': 9, 'E': 10, 'W': 10} reward=-24.1
step=119 action=4 queues(env)=N3,S5,E4,W4 rendered_approaching={'N': 3, 'S': 5, 'E': 4, 'W': 4} rendered_departing={'N': 8, 'S': 9, 'E': 10, 'W': 10} reward=-35.5
step=120 action=2 queues(env)=N3,S5,E4,W4 rendered_approaching={'N': 3, 'S': 5, 'E': 4, 'W': 4} rendered_departing={'N': 8, 'S': 9, 'E': 10, 'W': 9} reward=-29.1
step=121 action=0 queues(env)=N2,S4,E5,W4 rendered_approaching={'N': 2, 'S': 4, 'E': 5, 'W': 4} rendered_departing={'N': 9, 'S': 10, 'E': 10, 'W': 9} reward=-27.4
step=122 action=2 queues(env)=N1,S3,E6,W4 rendered_approaching={'N': 1, 'S': 3, 'E': 6, 'W': 4} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 9} reward=-26.5
step=123 action=4 queues(env)=N2,S3,E7,W5 rendered_approaching={'N': 2, 'S': 3, 'E': 7, 'W': 5} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 9} reward=-38.9
step=124 action=0 queues(env)=N0,S2,E8,W6 rendered_approaching={'N': 0, 'S': 2, 'E': 7, 'W': 6} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 9} reward=-27.4
step=125 action=1 queues(env)=N0,S2,E6,W5 rendered_approaching={'N': 0, 'S': 2, 'E': 6, 'W': 5} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 10} reward=-24.5
step=126 action=4 queues(env)=N1,S2,E6,W6 rendered_approaching={'N': 1, 'S': 2, 'E': 6, 'W': 6} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 10} reward=-35.8
step=127 action=2 queues(env)=N0,S2,E7,W6 rendered_approaching={'N': 0, 'S': 2, 'E': 7, 'W': 6} rendered_departing={'N': 9, 'S': 9, 'E': 9, 'W': 10} reward=-27.2
step=128 action=0 queues(env)=N0,S1,E7,W6 rendered_approaching={'N': 0, 'S': 1, 'E': 7, 'W': 6} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 9} reward=-28.6
step=129 action=4 queues(env)=N0,S1,E7,W7 rendered_approaching={'N': 0, 'S': 1, 'E': 7, 'W': 7} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 9} reward=-39.0
step=130 action=1 queues(env)=N1,S1,E6,W6 rendered_approaching={'N': 1, 'S': 1, 'E': 6, 'W': 6} rendered_departing={'N': 9, 'S': 10, 'E': 10, 'W': 10} reward=-26.9
step=131 action=4 queues(env)=N2,S1,E7,W7 rendered_approaching={'N': 2, 'S': 1, 'E': 7, 'W': 7} rendered_departing={'N': 9, 'S': 10, 'E': 10, 'W': 10} reward=-39.3
step=132 action=2 queues(env)=N2,S0,E8,W7 rendered_approaching={'N': 2, 'S': 0, 'E': 7, 'W': 7} rendered_departing={'N': 9, 'S': 9, 'E': 10, 'W': 10} reward=-30.2
step=133 action=0 queues(env)=N0,S0,E8,W7 rendered_approaching={'N': 0, 'S': 0, 'E': 7, 'W': 7} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 10} reward=-29.4
step=134 action=3 queues(env)=N1,S1,E8,W7 rendered_approaching={'N': 1, 'S': 1, 'E': 7, 'W': 7} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 10} reward=-34.9
